cliente_id,tipo_persona,nom_cli,sexo,tipo_documento,num_documento,direccion,telefono,email;;;;;;;;;;
3 ,Natural,Angulo Alvarez Rosa Beatriz,Mujer, DNI, 44657823,JR Justino Guillen 610 3853 008 Urb. Ur Santa Maria Et.3-Juliaca - Puno,(51) 55 - 6882,1@gmail.com;;3;,Natural,;;,Varon,;DNI,;44657823;;;,1@gmail.com
4 ,Natural,Apaza Paricahua Karina Beatriz,Mujer, DNI, 44657824,JR Porvenir 143 3862 055 Urb. Ur Las Mercedes-Juliaca – Puno,(51) 35 - 8756 ,1@gmail.com;;4;,Natural,;;,Varon,;DNI,;44657824;;;,1@gmail.com
5 ,Natural,Arque Mayta Mary Beatriz ,Mujer, DNI, 44657825,JR San Agustin S/N 3860 092 Urb. Ur Nueva Esperanza-Juliaca – Puno,(51) 30 - 2525,1@gmail.com;;5;,Natural,;;,Varon,;DNI,;44657825;;;,1@gmail.com
6 ,Natural,Condori Rodrigo Fany Beatriz,Mujer, DNI, 44657826,JR Jose Maria Eguren 795 3864 207 Urb. Ur Ur Señor De Huanca- Juliaca – Puno,(51) 20 - 4636 ,1@gmail.com;;6;,Natural,;;,Varon,;DNI,;44657826;;;,1@gmail.com
7 ,Natural,Cuela Humpire Juana Beatriz,Mujer, DNI, 44657827,JR Miraflores 1123 Pi. 2 Int. B 3864 - Urb. 3864-Juliaca – Puno,(51) 30 - 3249,1@gmail.com;;7;,Natural,;;,Varon,;DNI,;44657827;;;,1@gmail.com
8 ,Natural,Díaz Pacompia Beatriz,Mujer, DNI, 44657828,JR Cabana 240 (Juliaca Cerc. Juliaca)- Juliaca – Puno,(51) 32 - 9483,1@gmail.com;;8;,Natural,;;,Varon,;DNI,;44657828;;;,1@gmail.com
9 ,Natural,Huayta Choque Juanita Beatriz,Mujer, DNI, 44657829,JR Moquegua 892 3863 041 Urb. Ur Cercado De Juliaca-Juliaca – Puno,(51) 35 - 8422,1@gmail.com;;9;,Natural,;;,Varon,;DNI,;44657829;;;,1@gmail.com
10 ,Natural,Medina Bustinza De Camacho Lucy Beatriz,Mujer, DNI, 44657830,JR Enrique Caceres 300 Cercado Juliaca-Juliaca – Puno,(51) 32 - 1801,1@gmail.com;;10;,Natural,;;,Varon,;DNI,;44657830;;;,1@gmail.com
11 ,Natural,Morales Mamani Aida Beatriz,Mujer, DNI, 44657831,CL Patricio Quispe 264 3860 032 Urb. Ur Ur 9 De Octubre-Juliaca – Puno,(51) 35 - 9052,1@gmail.com;;11;,Natural,;;,Mujer,;DNI,;44657831;;;,1@gmail.com
12 ,Natural,Muñoz Carbajal Laura Beatriz,Mujer, DNI, 44657832,Libertad 868 (Int.)-Juliaca – Puno,(51) 32 - 3729,1@gmail.com;;12;,Natural,;;,Mujer,;DNI,;44657832;;;,1@gmail.com
13 ,Natural,Quispe Otazu Beatriz,Mujer, DNI, 44657833,JR Trebol 243 3859 008 Urb. Ur La Florida-Juliaca – Puno,(51) 33 - 3133,1@gmail.com;;13;,Natural,;;,Mujer,;DNI,;44657833;;;,1@gmail.com
14 ,Natural,Sucacahua Quispe Paulina Beatriz,Mujer, DNI, 44657834,AV Circunvalacion Oeste 1217 Urb. Cercado-Juliaca – Puno,(51) 33 - 2895,1@gmail.com;;14;,Natural,;;,Mujer,;DNI,;44657834;;;,1@gmail.com
15 ,Natural,Tacca Quispe Beatriz Obdulia,Mujer, DNI, 44657835,JR Ayacucho 325 (Juliaca Cerc. Juliaca)-Juliaca – Puno,(51) 33 – 3000,1@gmail.com;;15;,Natural,;;,Mujer,;DNI,;44657835;;;,1@gmail.com
16 ,Natural,Traverso Zaferson Marcela Beatriz,Mujer, DNI, 44657836,AV José Olaya 402 Int.A Urb. Bellavista-Juliaca – Puno,(51) 32 – 4294,1@gmail.com;;16;,Natural,;;,Mujer,;DNI,;44657836;;;,1@gmail.com
17 ,Natural,Callata Castillo Abel,Varon, DNI, 44657837,JR Lampa 138 3862 045 Urb. Ur Santa Barbara-Juliaca – Puno,(51) 35 - 8860,1@gmail.com;;17;,Natural,;;,Mujer,;DNI,;44657837;;;,1@gmail.com
18 ,Natural,Hito Cayo Juan Abel,Varon, DNI, 44657838,JR Palmeras 304 Urb. Santa Asuncion-Juliaca – Puno,(51) 32 - 9738,1@gmail.com;;18;,Natural,;;,Mujer,;DNI,;44657838;;;,1@gmail.com
19 ,Natural,Luna Ramos Abel Vicente,Varon, DNI, 44657839,AV Andres Avelino Caceres 132 3853 191 Urb. Ur Maria Luisa-Juliaca – Puno,(51) 33 - 3453,1@gmail.com;;19;,Natural,;;,Mujer,;DNI,;44657839;;;,1@gmail.com
20 ,Natural,Mamani Salamanca Abel Aldo,Varon, DNI, 44657840,Mz. E1 Lt. 113 Urb. Ur Los Choferes-Juliaca – Puno,(51) 35 - 9209,1@gmail.com;;20;,Natural,;;,Mujer,;DNI,;44657840;;;,1@gmail.com
21 ,Natural,Mendoza Alata Abel Valentin,Varon, DNI, 44657841,JR 8 De Noviembre 627 3864 Cercado Urb. 3864-Juliaca – Puno,(51) 30 - 4542,1@gmail.com;;21;,Natural,;;,Varon,;DNI,;44657841;;;,1@gmail.com
22 ,Natural,Puma Paye Abel,Varon, DNI, 44657842,JR 8 De Noviembre 1240 3864 004 Urb. Ur Manco Capac-Juliaca – Puno,(51) 33 - 3832,1@gmail.com;;22;,Natural,;;,Varon,;DNI,;44657842;;;,1@gmail.com
23 ,Natural,Quispe Tamayo Abel Jordan,Varon, DNI, 44657843,JR Escobar 210 3853 002 Urb. Ur Santa Maria Et3-Juliaca – Puno,(51) 35 - 8609,1@gmail.com;;23;,Natural,;;,Varon,;DNI,;44657843;;;,1@gmail.com
